CustomerID,1,2,3,4,5,6,7,8,9,10,11,12,Cluster_Client
12383.0,0,0,0,0,0,0,37,31,1,0,0,0,2
12395.0,0,12,0,0,0,19,1,0,0,0,0,0,4
12417.0,0,0,0,0,0,11,0,3,0,16,0,0,7
12431.0,14,0,0,0,0,10,0,0,0,0,20,0,6
12437.0,0,0,0,0,0,0,0,7,0,0,1,10,2
12471.0,1,0,0,48,0,28,24,8,0,3,0,16,4
12472.0,14,70,0,0,0,0,0,0,0,42,0,0,7
12474.0,0,0,1,0,0,0,0,2,11,18,4,0,7
12481.0,0,0,0,10,0,0,12,24,0,0,0,0,2
12494.0,0,0,0,3,0,3,1,0,0,0,0,0,4
12540.0,0,0,0,0,20,0,0,31,1,0,0,12,1
12567.0,0,63,20,0,0,0,0,0,0,0,0,63,4
12578.0,0,0,0,0,0,0,1,70,0,0,5,0,2
12600.0,0,2,0,0,0,5,0,0,0,0,0,8,7
12626.0,0,0,0,0,0,0,0,0,53,6,6,2,0
12647.0,0,19,17,0,0,17,0,0,0,0,0,0,4
12681.0,0,0,41,0,0,0,81,50,31,2,0,18,7
12682.0,0,16,0,33,0,0,40,0,0,0,0,38,4
12683.0,0,0,0,54,0,0,1,0,22,0,0,0,0
12709.0,0,0,7,0,0,7,0,0,0,11,8,0,2
12712.0,0,9,0,12,0,0,0,11,0,0,0,15,4
12720.0,0,0,30,0,0,16,0,0,0,0,19,0,2
12747.0,0,0,7,0,8,0,0,0,5,0,0,0,7
12748.0,2,125,188,230,24,75,40,0,11,0,0,0,4
12779.0,0,8,0,0,0,0,0,0,25,0,0,9,0
12782.0,0,0,0,0,0,22,4,0,0,30,0,0,7
12826.0,0,0,0,9,0,0,0,0,16,0,24,0,6
12829.0,0,0,0,0,0,5,0,6,0,1,0,0,2
12841.0,0,47,0,0,0,0,28,0,24,0,11,0,4
12868.0,12,0,0,0,0,0,0,22,0,0,12,0,2
12921.0,15,0,20,0,0,0,24,0,0,0,0,0,3
12947.0,17,0,0,0,0,2,0,16,0,1,0,0,3
12971.0,5,0,6,7,0,4,6,8,0,8,0,3,7
12980.0,0,0,0,0,0,3,1,2,0,0,0,0,2
13004.0,0,0,0,0,0,23,0,23,0,0,26,0,6
13047.0,17,0,0,0,0,0,0,1,0,0,0,26,3
13050.0,0,0,18,0,17,19,18,0,0,17,1,13,7
13069.0,0,43,0,0,35,0,0,36,0,0,0,24,1
13078.0,0,0,10,0,2,19,0,14,0,0,9,0,2
13081.0,0,74,0,0,0,0,161,26,0,0,0,0,4
13089.0,0,2,39,0,23,22,77,47,51,1,54,50,4
13090.0,4,0,0,4,0,0,0,3,2,0,0,0,3
13093.0,13,0,0,0,0,36,42,25,0,0,0,27,7
13102.0,0,0,0,11,12,0,0,47,0,4,0,19,2
13113.0,0,0,0,13,0,0,0,14,0,19,0,16,7
13117.0,15,0,0,11,0,0,0,0,0,8,0,0,3
13126.0,0,0,13,0,0,0,18,1,0,0,0,0,7
13148.0,0,0,0,18,0,0,6,0,0,0,106,0,5
13198.0,0,0,0,0,24,1,0,0,0,52,0,0,1
13199.0,0,0,4,0,0,7,2,1,1,0,0,1,7
13209.0,0,0,0,0,13,2,0,0,6,0,0,0,1
13230.0,0,0,0,13,0,0,0,0,0,49,0,23,7
13267.0,0,0,15,3,10,1,1,16,0,0,0,0,1
13319.0,0,0,3,32,0,0,63,0,0,0,0,0,4
13329.0,0,0,7,0,1,0,1,0,0,0,0,0,7
13370.0,4,35,0,5,0,0,0,0,0,0,0,0,4
13408.0,15,0,0,0,9,16,6,2,0,20,10,0,2
13418.0,23,0,0,10,0,16,0,0,0,0,0,0,3
13458.0,0,0,0,0,0,30,54,2,1,0,0,0,4
13468.0,20,0,14,0,0,19,0,7,0,10,0,9,3
13488.0,0,0,45,0,0,0,0,72,0,0,0,32,7
13491.0,7,0,0,0,0,5,0,10,0,12,0,8,7
13495.0,0,0,14,4,0,8,0,0,0,0,0,0,7
13506.0,0,17,0,0,0,0,0,0,0,0,9,3,6
13534.0,0,0,0,0,0,11,3,12,0,19,7,0,2
13576.0,11,0,0,0,0,0,16,3,0,0,0,4,3
13599.0,0,0,17,0,3,0,9,0,1,0,0,0,7
13668.0,0,0,0,0,14,0,0,27,0,0,0,20,1
13694.0,6,0,0,0,0,40,24,18,0,0,8,8,2
13715.0,15,0,0,0,32,0,52,1,0,0,0,0,7
13758.0,17,0,0,7,0,0,0,9,0,0,0,0,3
13767.0,19,13,0,8,0,18,5,10,0,0,0,0,3
13769.0,0,0,10,0,1,0,0,0,19,2,0,0,0
13777.0,33,0,0,3,0,0,3,4,0,0,12,12,3
13784.0,0,0,0,0,0,0,0,4,0,0,1,1,2
13798.0,1,0,0,0,65,0,12,9,0,36,0,0,1
13842.0,0,0,20,0,0,0,0,18,0,0,0,17,7
13854.0,0,0,0,3,0,8,1,8,0,9,0,4,7
13963.0,0,0,7,0,0,0,13,0,0,6,0,9,7
14031.0,25,0,0,4,0,6,0,10,6,0,0,0,3
14032.0,0,0,14,0,1,15,2,0,0,0,0,0,7
14047.0,12,0,0,1,0,0,0,2,0,0,0,0,3
14051.0,0,0,0,14,0,6,13,0,0,0,8,0,6
14060.0,8,0,0,4,0,4,0,13,0,11,0,0,7
14062.0,0,0,0,0,21,0,7,0,16,0,0,0,4
14085.0,0,0,12,0,42,0,32,27,31,0,0,27,7
14092.0,1,0,0,0,0,13,28,0,0,19,0,0,7
14113.0,0,0,0,0,0,0,4,0,0,1,0,2,7
14135.0,23,0,14,0,0,0,13,15,5,0,0,0,3
14156.0,2,3,0,0,0,0,0,0,41,0,0,40,0
14176.0,0,0,9,0,1,0,0,0,4,0,0,0,7
14180.0,12,0,0,0,17,20,13,0,14,0,2,10,7
14189.0,0,0,9,0,0,0,22,0,0,16,0,0,7
14215.0,0,0,6,0,0,0,0,37,0,1,8,0,2
14217.0,0,0,0,8,0,0,0,8,0,0,0,6,4
14243.0,0,0,0,8,0,11,0,0,0,21,0,0,7
14298.0,0,0,0,0,98,0,47,52,0,43,1,0,1
14299.0,0,0,0,7,0,0,11,5,1,9,1,0,4
14309.0,0,0,0,0,0,6,0,0,6,0,0,10,4
14426.0,0,0,0,0,0,2,0,2,0,0,43,0,5
14443.0,3,0,20,0,0,0,0,0,0,0,0,19,7
14505.0,0,0,0,0,137,0,45,1,0,0,0,0,1
14527.0,1,29,0,29,0,30,45,21,19,11,14,0,4
14560.0,0,0,0,0,0,14,1,0,0,0,4,3,2
14606.0,40,8,74,0,48,20,103,67,61,49,0,105,7
14646.0,0,0,0,0,0,0,70,55,59,106,0,0,7
14667.0,0,0,24,106,13,0,0,0,25,0,0,0,0
14680.0,0,14,0,0,22,0,25,0,0,28,0,0,1
14688.0,19,0,0,0,0,0,0,0,19,0,20,0,3
14696.0,18,0,0,1,0,0,0,0,16,0,0,0,3
14702.0,0,0,0,30,0,0,0,40,0,0,21,0,6
14713.0,0,0,0,25,0,19,0,0,36,0,0,0,0
14733.0,0,0,28,0,33,0,17,46,0,0,10,0,1
14735.0,0,0,0,0,0,5,0,0,23,0,0,5,0
14744.0,0,0,3,0,0,0,0,0,0,5,5,1,2
14769.0,0,0,0,0,0,22,2,0,35,0,0,0,0
14796.0,0,0,51,0,38,0,0,0,0,54,0,0,1
14800.0,0,51,0,0,43,0,0,52,0,0,0,0,1
14810.0,0,23,0,0,0,0,0,16,0,0,0,16,4
14829.0,19,0,0,0,9,1,0,0,0,0,0,0,3
14849.0,17,0,0,0,0,11,0,0,0,23,1,0,3
14898.0,0,3,0,2,0,1,0,0,6,0,0,0,0
14901.0,18,0,16,0,6,0,0,0,0,0,0,0,3
14911.0,22,71,36,83,0,23,98,13,31,67,21,58,4
15005.0,0,0,0,28,0,45,0,39,0,0,0,34,2
15039.0,0,0,56,0,59,0,49,42,41,29,0,39,7
15044.0,0,0,0,0,58,29,33,14,0,0,0,0,1
15046.0,0,0,0,0,0,0,29,0,11,0,0,9,4
15061.0,73,0,16,20,0,15,1,26,13,6,0,0,3
15078.0,0,0,22,0,0,1,15,0,0,18,0,0,7
15093.0,16,0,0,0,2,0,21,0,0,0,0,0,3
15100.0,1,0,2,0,0,1,0,2,0,0,0,0,3
15107.0,5,0,0,0,0,5,0,9,0,0,0,1,3
15159.0,0,0,0,0,48,0,0,0,11,0,21,0,1
15189.0,0,0,0,0,0,0,0,5,0,3,2,0,2
15194.0,0,0,16,0,11,47,0,24,0,0,0,16,2
15235.0,5,4,0,0,0,0,42,0,0,19,0,18,7
15290.0,0,0,0,0,0,8,0,9,2,0,0,0,2
15291.0,2,0,0,0,0,4,0,22,6,1,0,0,2
15298.0,0,0,0,17,0,0,15,0,7,0,0,0,0
15311.0,36,33,0,40,37,16,83,77,96,42,16,111,4
15358.0,0,0,0,41,0,0,42,0,0,0,36,3,6
15373.0,0,11,0,0,0,5,5,0,0,3,0,0,4
15379.0,0,0,0,0,0,61,44,0,33,0,0,0,4
15465.0,0,7,0,0,0,5,0,5,0,4,0,0,4
15498.0,0,0,10,19,0,0,9,0,106,19,0,0,0
15513.0,3,0,0,12,0,0,0,19,1,0,11,0,6
15529.0,0,0,15,2,0,0,0,0,59,0,0,0,0
15535.0,0,0,0,1,0,1,0,0,39,0,0,0,0
15555.0,0,32,0,37,27,0,0,0,0,0,0,0,4
15570.0,0,44,0,0,41,29,0,0,30,0,0,0,4
15596.0,0,0,0,21,0,0,0,0,21,0,1,0,0
15601.0,48,0,0,0,0,28,0,39,0,23,19,0,3
15602.0,0,0,3,0,2,0,1,4,0,0,5,2,2
15640.0,7,0,0,0,37,0,62,9,0,0,0,0,1
